股票代码,股票名称,涨跌字符串
sh688062,迈威生物-U,011100111100001101000100100011111010010101001110100000010101
sh688757,胜科纳米,111101101010101100010110101000011000100101010101101010111111
sh688047,龙芯中科,110101101000010000010110101000010010110111001100010011101100
sh688398,赛特新材,111001111100100110001010100011001101110011000011000000011011
sh603616,韩建河山,010101111100110100001111101001011010111101001100001000101101
sh600595,中孚实业,100000110110111100101000001110001100100001111111110110011101
sh600961,株冶集团,110101111110111000011010010110110100100101111011101100001001
sh605058,澳弘电子,111000101010111110101011100000111000100111010001111010011001
sh605277,新亚电子,101000101000111010100110100000101000101100111001101110011101
sh600643,爱建集团,001100110101111100100010101010010000110111110101101100011100
sh600152,维科技术,010000101100111010001010101000111000111101100000001000111111
sh605378,野马电池,110000111100011011001111101001111000110101100110101100111111
sh603132,金徽股份,010001111000111000001110011000111001101001101001100000010001
sh600967,内蒙一机,001101111100111100001111101000111010111010010111011111011111
sh600743,华远控股,000101110100111100100100001010010000010111101000100000011001
sh600241,时代万恒,011100111110101110111010100011101000110101101001001000111111
sh603130,云中马,101000111110101010101111000010110010011011100100000100111111
sh603196,日播时尚,011000111100101011100010010000111010110101101100001100111101
sh603871,嘉友国际,010001110000101100100010101010001100001100100010101100001001
sh600666,奥瑞德,101100101100111010110010100010011000100100100100001100111111
sh600281,华阳新材,010101111100111000111111001010111011101001001111011100010101
sh603316,诚邦股份,011100111010101010101111111001111000101111101001101010111011
sh600960,渤海汽车,100100010001110011111011111010110110001010100111110000011110
sh601718,际华集团,010101101100100100111011011000010000110101100000010110011111
sh688433,华曙高科,101000111000001010101110001000110000100101110111001110110101
sh688020,方邦股份,011000101000001000001110001000101001110101111101001010011101
sh603228,景旺电子,101001101000111010101110101010101110111111111000101010011111
sh688061,灿瑞科技,011001111000101100001110101000111000110101111101101110011101
sh601162,天风证券,000100101100111000100110101010001000100101110101101000011101
sh603758,秦安股份,001000111100111011111011001000100001010101011001110110111101
sh600331,宏达股份,110000111100101000111101101010010101100000011100110100011101
sh601606,长城军工,010001101100101000001111111010110110100111010100010111111111
sh600375,汉马科技,010110011111100101100010101000011101111100010000101101010101
sh688081,兴图新科,101101111001001010101001111001001010100101100000000000010111
sh603665,康隆达,110000110110111111011010001000111010001110101101010001011001
sh605196,华通线缆,001000000010110011111110101110101110111001110010101000011011
sh600395,盘江股份,010101100101100011011110000111010100011100100101010100110101
sh603093,南华期货,010000111100111100001010101010011000100111101101101010011111
sh688022,瀚川智能,101001101100101011001111100000101000110101011100001010011111
sh600684,珠江股份,010100110100101111000010000010010000011111100110100000011101
sh600543,莫高股份,010101110111110000001111110001011000110110100101101100010001
sh688498,源杰科技,111101111000100100101111111001111000101000111101101010110001
sh603683,晶华新材,111100101010101111111110111010111000111000011111001010011001
sh603979,XD金诚信,011000110100011010110000001000101101101000111101100000111111
sh600601,方正科技,010100101000111010101110101000111000100101110101101010011111
sh600589,大位科技,100100101000111110011111101110101010100100110100101010011111
sh605060,联德股份,011000110010011010100110100100111100001101110101101100011111
sh688758,赛分科技,110101111100101100001110100100001000000101000100101000111101
sh603530,神马电力,101000101000011011111010100110111011110101000001011010011101
sh600362,江西铜业,010000111100011100010010101010000100101101101001100000011111
sh688521,芯原股份,101100101110100000011100101001001100101110011001001110000101
sh601609,金田股份,010000101011111100001000001000100000101100101111101000011111
sh600208,衢州发展,001101111000111000101010001010010001000101000101101000111101
