日期,开盘价,最高价,最低价,收盘价,成交量,涨跌
2025-03-31,26.70,26.99,25.94,26.79,2194232,1
2025-04-01,26.96,27.73,26.79,26.92,1954414,0
2025-04-02,26.58,27.77,26.55,27.27,2295062,1
2025-04-03,26.77,27.38,26.15,26.50,1784414,0
2025-04-07,24.20,24.66,21.20,21.58,3653791,0
2025-04-08,22.02,23.38,21.33,22.18,3286733,1
2025-04-09,21.39,23.15,19.30,22.99,3423347,1
2025-04-10,23.59,24.62,23.59,24.12,2507480,1
2025-04-11,24.33,24.82,23.64,24.57,1969712,1
2025-04-14,24.72,25.30,24.72,25.16,1942941,1
2025-04-15,25.16,25.58,24.75,24.98,1533920,0
2025-04-16,24.86,25.10,23.70,24.05,1733842,0
2025-04-17,23.99,24.47,23.50,24.00,1396000,1
2025-04-18,24.03,24.24,23.56,24.04,1313150,1
2025-04-21,24.05,24.70,23.75,24.54,1422650,1
2025-04-22,24.58,24.80,24.24,24.61,1147900,1
2025-04-23,25.07,25.71,25.07,25.58,1856350,1
2025-04-24,27.50,30.50,27.00,29.17,9862194,1
2025-04-25,27.65,28.58,27.52,28.07,7389377,1
2025-04-28,27.75,28.59,27.07,28.20,5470212,1
2025-04-29,27.38,28.14,27.00,27.07,5230119,0
2025-04-30,26.92,27.68,26.70,27.61,4708297,1
2025-05-06,28.16,28.62,27.82,28.46,5388878,1
2025-05-07,28.80,28.95,27.78,28.25,4101529,0
2025-05-08,27.95,29.30,27.80,29.06,5260306,1
2025-05-09,28.80,29.48,28.50,28.74,4172481,0
2025-05-12,29.00,29.42,28.65,28.79,3803778,0
2025-05-13,28.99,29.24,28.35,28.40,2961733,0
2025-05-14,28.27,28.62,27.76,27.99,2754220,0
2025-05-15,27.99,29.25,27.38,28.57,4168831,1
2025-05-16,28.46,29.99,28.43,29.70,7294701,1
2025-05-19,29.54,30.46,28.80,30.12,6067508,1
2025-05-20,29.99,30.68,29.52,30.53,6754410,1
2025-05-21,30.50,31.35,29.72,30.40,6551899,0
2025-05-22,30.02,30.45,28.60,28.77,6353589,0
2025-05-23,29.91,30.19,28.01,28.40,5703130,0
2025-05-26,28.21,28.40,27.33,28.31,3184270,1
2025-05-27,28.42,28.67,27.73,27.87,2321120,0
2025-05-28,28.00,28.88,27.53,27.71,2357544,0
2025-05-29,27.60,28.70,27.55,28.26,3015600,1
2025-05-30,28.25,28.42,27.00,27.04,2633180,0
2025-06-03,26.95,27.96,26.95,27.31,2131230,1
2025-06-04,27.58,27.74,27.11,27.54,1728930,0
2025-06-05,27.55,27.97,27.21,27.90,1958070,1
2025-06-06,28.03,28.03,27.48,27.80,1502660,0
2025-06-09,27.89,28.18,27.70,27.92,1386383,1
2025-06-10,27.80,28.10,26.90,27.41,1748370,0
2025-06-11,27.79,28.57,27.48,28.21,3651254,1
2025-06-12,28.20,29.12,27.82,28.75,3525710,1
2025-06-13,28.44,28.75,27.35,27.38,2868800,0
2025-06-16,29.02,30.55,28.50,29.55,6815659,1
2025-06-17,29.24,29.99,28.89,29.38,5262940,1
2025-06-18,29.30,29.50,28.88,29.34,3192767,1
2025-06-19,29.23,29.49,28.03,28.48,3420143,0
2025-06-20,28.38,29.17,27.57,28.18,3464500,0
2025-06-23,28.68,29.98,28.42,29.80,7135593,1
2025-06-24,30.18,34.79,29.86,34.14,10785974,1
2025-06-25,34.49,34.50,32.65,33.88,9336649,0
2025-06-26,33.88,40.66,33.31,40.66,13377619,1
2025-06-27,46.42,48.49,38.12,38.23,22261401,0
